tt,staname,stla,stlo,evtname,evla,evlo,period,weight,dist,vel
1,MX001,24.200,102.000,MX000,24.000,102.000,2.000,1,22.15193,3
1,MX002,24.400,102.000,MX000,24.000,102.000,2.000,1,44.30445,3
1,MX003,24.600,102.000,MX000,24.000,102.000,2.000,1,66.45755,3
1,MX004,24.800,102.000,MX000,24.000,102.000,2.000,1,88.61124,3
1,MX005,25.000,102.000,MX000,24.000,102.000,2.000,1,110.76552,3
1,MX006,25.200,102.000,MX000,24.000,102.000,2.000,1,132.92039,3
1,MX007,25.400,102.000,MX000,24.000,102.000,2.000,1,155.07587,3
1,MX008,25.600,102.000,MX000,24.000,102.000,2.000,1,177.23194,3
1,MX009,25.800,102.000,MX000,24.000,102.000,2.000,1,199.38863,3
1,MX010,26.000,102.000,MX000,24.000,102.000,2.000,1,221.54592,3
1,MX011,24.000,102.200,MX000,24.000,102.000,2.000,1,20.35035,3
1,MX012,24.200,102.200,MX000,24.000,102.000,2.000,1,30.06997,3
1,MX013,24.400,102.200,MX000,24.000,102.000,2.000,1,48.74150,3
1,MX014,24.600,102.200,MX000,24.000,102.000,2.000,1,69.48962,3
1,MX015,24.800,102.200,MX000,24.000,102.000,2.000,1,90.90380,3
1,MX016,25.000,102.200,MX000,24.000,102.000,2.000,1,112.60504,3
1,MX017,25.200,102.200,MX000,24.000,102.000,2.000,1,134.45470,3
1,MX018,25.400,102.200,MX000,24.000,102.000,2.000,1,156.39085,3
1,MX019,25.600,102.200,MX000,24.000,102.000,2.000,1,178.38181,3
1,MX020,25.800,102.200,MX000,24.000,102.000,2.000,1,200.40974,3
1,MX021,26.000,102.200,MX000,24.000,102.000,2.000,1,222.46385,3
1,MX022,24.000,102.400,MX000,24.000,102.000,2.000,1,40.70070,3
1,MX023,24.200,102.400,MX000,24.000,102.000,2.000,1,46.31078,3
1,MX024,24.400,102.400,MX000,24.000,102.000,2.000,1,60.11891,3
1,MX025,24.600,102.400,MX000,24.000,102.000,2.000,1,77.88075,3
1,MX026,24.800,102.400,MX000,24.000,102.000,2.000,1,97.45845,3
1,MX027,25.000,102.400,MX000,24.000,102.000,2.000,1,117.95159,3
1,MX028,25.200,102.400,MX000,24.000,102.000,2.000,1,138.95602,3
1,MX029,25.400,102.400,MX000,24.000,102.000,2.000,1,160.27108,3
1,MX030,25.600,102.400,MX000,24.000,102.000,2.000,1,181.78778,3
1,MX031,25.800,102.400,MX000,24.000,102.000,2.000,1,203.44234,3
1,MX032,26.000,102.400,MX000,24.000,102.000,2.000,1,225.19518,3
1,MX033,24.000,102.600,MX000,24.000,102.000,2.000,1,61.05102,3
